1000	0.000762	498610.169000	493614	499500
2000	0.003078	1997075.780000	1988269	1998999
3000	0.007499	4495540.614000	4475495	4498500
4000	0.014663	7994294.007000	7964847	7997999
5000	0.024850	12492598.649000	12455014	12497490
6000	0.038292	17991341.053000	17941055	17997000
7000	0.054392	24489664.256000	24444497	24496500
8000	0.073634	31988513.186000	31930659	31996000
9000	0.095788	40486577.286000	40389930	40495494
10000	0.121008	49985788.488000	49927472	49995000
